date,com_count,sub_count,com_body_pos_count,com_body_very_pos_count,com_body_neg_count,com_body_very_neg_count,sub_body_pos_count,sub_body_very_pos_count,sub_body_neg_count,sub_body_very_neg_count,sub_title_pos_count,sub_title_very_pos_count,sub_title_neg_count,sub_title_very_neg_count,avg_clust_coef,avg_degree,num_edges,num_nodes,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_market_cap
10/8/2018,7881,1516,1762,772,813,288,99,71,15,9,184,51,49,11,0.006270497,1.0760,3881,3607,226.510000,230.770000,224.560000,229.260000,1470740000,23201746333
10/9/2018,9479,1560,2127,1020,1008,386,92,74,15,6,205,48,62,6,0.009626465,1.2041,4884,4056,229.710000,230.160000,226.400000,227.980000,1405130000,23534297243
10/10/2018,10626,1760,2407,1167,1160,402,118,82,15,11,202,47,80,9,0.004785731,1.1725,4914,4191,227.620000,227.710000,224.500000,225.770000,1384040000,23324309565
10/11/2018,13696,1734,2779,1241,1618,573,108,79,21,12,191,53,72,12,0.012420203,1.1309,5753,5087,225.610000,225.610000,189.280000,189.500000,2167620000,23123377668
10/12/2018,10518,1659,2245,1021,1145,444,89,72,16,3,197,47,86,14,0.007035770,1.0847,4585,4227,188.710000,199.400000,188.710000,196.730000,1487900000,19344966173
10/13/2018,7708,1048,1670,779,925,351,71,55,9,6,148,52,55,19,0.009299521,1.1056,3663,3313,196.360000,201.280000,196.360000,199.840000,1167610000,20133928471
10/14/2018,7846,1076,1733,808,944,378,69,54,8,4,159,46,49,11,0.010394614,1.1916,3706,3110,199.690000,201.830000,195.240000,195.720000,1169260000,20479177355
10/15/2018,14926,1861,2859,1180,1651,599,126,96,26,12,228,55,113,25,0.010953399,1.1669,5957,5105,195.270000,222.120000,194.160000,209.700000,2865830000,20029798682
10/16/2018,11593,1814,2630,1199,1227,479,104,86,18,11,202,63,69,12,0.010725836,1.2258,5614,4580,209.630000,212.170000,207.980000,210.120000,1532280000,21506787251
10/17/2018,10881,1670,2360,1085,1083,402,122,89,16,11,221,68,63,12,0.005589367,1.1712,5069,4328,210.220000,211.130000,205.930000,207.080000,1444130000,21571524527
10/18/2018,10330,1548,2264,1053,1172,451,100,76,12,4,189,48,70,13,0.011437164,1.1779,4834,4104,207.400000,208.470000,201.740000,203.350000,1365860000,21287050429
10/19/2018,9874,1497,2344,1130,1101,423,120,98,13,6,231,68,76,19,0.010656081,1.2009,4674,3892,203.260000,204.660000,201.840000,203.730000,1264480000,20865562767
10/20/2018,7906,1073,1762,851,838,325,64,45,11,6,164,34,53,14,0.007330078,1.1484,3768,3281,203.520000,206.220000,203.090000,205.430000,1238780000,20896182413
10/21/2018,7787,1079,1654,779,902,344,63,53,12,9,109,26,55,10,0.012007135,1.1675,3854,3301,205.390000,208.160000,204.620000,205.140000,1190300000,21092979492
10/22/2018,9054,1607,2158,1074,879,305,109,81,11,5,198,37,52,11,0.009562103,1.1419,4314,3778,205.170000,206.930000,203.380000,204.040000,1328980000,21074931431
10/23/2018,9928,1649,2236,1043,1031,374,99,74,19,5,228,54,64,7,0.011221887,1.1490,4497,3914,204.020000,205.150000,201.910000,204.340000,1237490000,20960149903
10/24/2018,9841,1628,2140,993,1031,420,112,80,16,11,252,58,64,11,0.004643298,1.1444,4692,4100,204.130000,205.580000,203.350000,203.850000,1102220000,20975699037
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
